Palette,Colour,Location,Role
primary,MasterbrandOchre,,essential
primary,MasterbrandWhite,,essential
primary,MasterbrandCharcoal,,essential
primary,MasterbrandBlack,,essential
primary,AccentYellow,,accent
primary,AccentBlue,,accent
primary,AccentGrey,,accent
external,MasterbrandOchre,cover,essential
external,MasterbrandOchre,internal_pages,optional
external,MasterbrandBlack,cover,optional
external,MasterbrandWhite,internal_pages,essential
external,MasterbrandCharcoal,internal_pages,essential
external,AccentYellow,internal_pages,optional
external,AccentBlue,internal_pages,optional
internal,MasterbrandWhite,cover,essential
internal,MasterbrandCharcoal,cover,essential
internal,MasterbrandOchre,cover,optional
internal,MasterbrandWhite,internal_pages,essential
internal,MasterbrandCharcoal,internal_pages,essential
internal,MasterbrandOchre,internal_pages,optional
internal,AccentYellow,internal_pages,optional
internal,AccentBlue,internal_pages,optional
secondary_pallette_1,SecondaryIvory,1,essential
secondary_pallette_1,SecondaryBeige,2,essential
secondary_pallette_1,SecondaryPeach,3,essential
secondary_pallette_1,MasterbrandOchre,4,essential
secondary_pallette_1,SecondaryMaroon,5,essential
secondary_pallette_1,MasterbrandCharcoal,6,essential
secondary_pallette_1,MasterbrandBlack,7,essential
secondary_pallette_2,SecondaryOrange,1,essential
secondary_pallette_2,MasterbrandYellow,2,essential
secondary_pallette_2,SecondaryLemon,3,essential
secondary_pallette_2,SecondaryBlush,4,essential
secondary_pallette_2,SecondaryPink,5,essential
secondary_pallette_2,SecondaryLilac,6,essential
secondary_pallette_2,SecondaryPurple,7,essential
secondary_pallette_3,SecondaryLightBlue,1,essential
secondary_pallette_3,SecondaryBlue,2,essential
secondary_pallette_3,MasterbrandBlue,3,essential
secondary_pallette_3,SecondaryLightGreen,4,essential
secondary_pallette_3,SecondaryDarkGreen,5,essential
secondary_pallette_3,SecondaryDarkSeafoam,6,essential
secondary_pallette_3,SecondaryLightSeafoam,7,essential
secondary_pallette_monochromatic,MasterbrandOchre,1,essential
secondary_pallette_monochromatic,SecondaryBeige,2,essential
secondary_pallette_bright,MasterbrandOchre,1,essential
secondary_pallette_bright,SecondaryDarkGreen,2,essential
secondary_pallette_bright,SecondaryLightGreen,3,essential
secondary_pallette_bright,SecondaryLightBlue,4,essential
secondary_pallette_bright,AccentBlue,5,essential
secondary_pallette_bright,SecondaryOrange,6,essential
secondary_pallette_bright,AccentYellow,7,essential
secondary_pallette_complementary,MasterbrandOchre,1,essential
secondary_pallette_complementary,SecondaryPeach,2,essential
secondary_pallette_complementary,SecondaryMaroon,3,essential
secondary_pallette_complementary,SecondaryDarkSeafoam,4,essential
secondary_pallette_complementary,SecondaryLightSeafoam,5,essential
