colourName,R,G,B,C,M,Y,K,SpotColour_UncoatedStocks,SpotColour_CoatedStocks
AccentBlue,1,72,164,100,61,0,0,PMSW 2945U,PMS 2945C
AccentBlue_dvPS,0,101,178,,,,,,
AccentGrey,241,241,241,0,0,0,10,,
AccentGrey_dvPS,231,231,232,,,,,,
AccentYellow,255,184,0,0,25,98,0,PMS 121U,PMS 123C
AccentYellow_dvPS,255,194,21,,,,,,
MasterbrandBlack,10,10,10,0,0,0,100,,
MasterbrandBlack_dvPS,35,31,32,,,,,,
MasterbrandCharcoal,66,66,66,0,0,0,90,,
MasterbrandCharcoal_dvPS,64,64,65,,,,,,
MasterbrandOchre,230,70,38,0,85,100,0,PMS 7417C,PMS 7417C
MasterbrandOchre_dvPS,240,78,35,,,,,,
MasterbrandWhite,255,255,255,0,0,0,0,,
MasterbrandWhite_dvPS,255,255,255,,,,,,
SecondaryBeige,253,202,144,0,23,47,0,,
SecondaryBeige_dvPS,253,202,144,,,,,,
SecondaryBlue,78,152,211,67,29,0,0,,
SecondaryBlue_dvPS,78,152,211,,,,,,
SecondaryDarkGreen,0,126,59,81,5,95,32,,
SecondaryDarkGreen_dvPS,0,126,59,,,,,,
SecondaryDarkSeafoam,0,164,133,81,11,61,0,,
SecondaryDarkSeafoam_dvPS,0,164,133,,,,,,
SecondaryIvory,248,239,221,2,4,13,0,,
SecondaryIvory_dvPS,249,243,222,,,,,,
SecondaryLemon,251,243,141,3,0,56,0,,
SecondaryLemon_dvPS,251,243,142,,,,,,
SecondaryLightBlue,145,189,229,41,15,0,0,,
SecondaryLightBlue_dvPS,145,189,229,,,,,,
SecondaryLightGreen,189,220,150,28,0,53,0,,
SecondaryLightGreen_dvPS,189,220,150,,,,,,
SecondaryLightPink,248,185,204,0,34,4,0,,
SecondaryLightPink_dvPS,248,185,204,,,,,,
SecondaryLightSeafoam,104,198,182,57,0,35,0,,
SecondaryLightSeafoam_dvPS,104,198,182,,,,,,
SecondaryLilac,184,150,198,60,90,0,0,,
SecondaryLilac_dvPS,184,150,198,,,,,,
SecondaryMaroon,122,32,0,0,85,100,60,,
SecondaryMaroon_dvPS,122,32,0,,,,,,
SecondaryOrange,249,161,52,0,43,90,0,,
SecondaryOrange_dvPS,249,161,52,,,,,,
SecondaryPeach,247,156,114,0,47,56,0,,
SecondaryPeach_dvPS,247,156,114,,,,,,
SecondaryPink,214,81,157,12,83,0,0,,
SecondaryPink_dvPS,213,81,157,,,,,,
SecondaryPurple,127,63,152,60,90,0,0,,
SecondaryPurple_dvPS,127,63,152,,,,,,
